New Code,New Name,Old Honolulu Code,Old Honolulu Name,Old Oahu Code,Old Oahu Name,Old Kaala Code,Old Kaala Name,Hex
Y28,Corn Yellow,Y6,Lemon Yellow,Y495,Lemon Yellow,Y495,Lemon Yellow,ebae5c
E212,Dusty Olive,Y7,Dull Yellow,,,,,baa67d
Y315,Olive Yellow,Y8,Olive Yellow,Y764,Olive Yellow,Y764,Olive Yellow,bd9057
Y415,Sand Storm,Y9,Yellow Ochre,Y585,Yellow Ocher,Y585,Yellow Ocher,c89367
E14,Khaki Beige,YG040,Yellow Grey 04,,,,,d5caba
E19,Dried Sage,YG080,Yellow Grey 08,,,,,cabea7
E111,Pewter Green,YG100,Yellow Grey 100,YG100,Yellow Grey 100,,,b5a696
YR52,Cameo Rose,YR030,Carmine Red,YR198,Carmine Red,,,fae0d7
R14,Sheer Peach,YR050,Spring Orange,,,,,f9bdb6
YR59,Cantaloupe,YR070,Light Orange,,,,,f9af9c
YR511,Pale Coral,YR090,Peach Pie,YR494,Peach Pie,,,f69172
Y216,Caramel,YR1,Dark Yellow,Y583,Dark Yellow,Y583,Dark Yellow,c68e54
E612,Brick Brown,YR10,Brun,E558,Brun,E558,Brun,a37871
YR38,Burnt Ochre,YR107,Reddish Yellow,YR492,Reddish Yellow,YR492,Reddish Yellow,e5a484
YR11,Peachy Blush,YR110,Mellow Peach,YR297,Mellow Peach,,,fcdacb
E66,Light Fawn,YR148,Thin Persimmon,E189,Thin Persimmon,,,c8a092
YR19,Marigold Orange,YR170,Chrome Orange,YR696,Chrome Orange,,,f8ad66
YR015,Burnt Orange,YR172,Tiger Lily,,,,,db8057
YR213,Squash Orange,YR180,Lipstick Orange,,,,,e97d60
YR513,Papaya,YR190,Cadmium Orange,,,,,f47c60
Y213,Dark Marigold,YR2,Marigold,Y792,Marigold,Y792,Marigold,e49c01
YR37,Roasted Cashew,YR20,Morin,E477,Morin,E477,Morin,f1b28d
YR25,Powder Orange,YR205,Powdery Orange,YR196,Powdery Orange,YR196,Powdery Orange,fab898
E47,Camel,YR209,Hazelnuts,E288,Hazelnuts,E288,Hazelnuts,dcb092
Y43,Warm Beige,YR212,Milk White,E191,Cream Color,E191,Cream Color,f7ddc0
YR03,Pastel Blush,YR220,Yellowish Shade,,,,,fbe3d3
Y56,Milkshake,YR230,Light Reddish Yellow,,,,,facc94
Y45,Cream,YR240,Cream,,,,,f2c39d
Y46,Peach Yogurt,YR250,Moccasin,,,,,f4b684
Y410,Goldenrod,YR260,Yellowish Brown,,,,,ecaf73
YR112,Orange,YR3,Orange,YR792,Orange,,,ff8a28
Y29,Melon Yellow,YR33,Melon Yellow,Y691,Melon Yellow,Y691,Melon Yellow,eda14c
Y210,Pumpkin Yellow,YR34,Yellow,Y593,Yellow,Y593,Yellow,e89b53
YR07,Salmon Orange,YR4,Salmon Pink,YR295,Salmon Pink,,,ffaf71
YR515,Burnt Sienna,YR5,Terra Cotta,E679,Terra Cotta,E679,Terra Cotta,c97765
Y48,Light Apricot,YR6,Primary Yellow,Y396,Primary Yellow,Y396,Primary Yellow,edb37e
YR09,Sandstone,YR7,Cadium Yellow,YR596,Cadmium Yellow,YR596,Cadmium Yellow,f9a375
YR29,Grapefruit,YR8,Salmon,YR495,Salmon,YR495,Salmon,f69476
E59,Chestnut,YR9,Yellow Ochre,E367,Caramel,E367,Caramel,ab7a6c
E615,Cherry Cola,YR91,Natural Oak,E644,Natural Oak,E644,Natural Oak,7c564f
E514,Dark Chocolate,YR92,Chocolate,E342,Chocolate,E342,Chocolate,7a6966
E513,Taupe Brown,YR95,Burnt Sienna,E340 ,Burnt Sienna,,,82726e
BV316,Prussian Blue,,,,,B288,Lapis Lazuli,496d9b
